ScanNumber	ScanTime	ScanType	ScanTypeName	PrecursorMz	ScanFilterText
2893	27.765	2	CID-MSn	396.21	ITMS + c NSI d Full ms2 396.21@cid35.00 [95.00-1200.00]
2894	27.775	2	CID-MSn	339.52	ITMS + c NSI d Full ms2 339.52@cid35.00 [80.00-1030.00]
2895	27.787	2	CID-MSn	444.26	ITMS + c NSI d Full ms2 444.26@cid35.00 [110.00-900.00]
2896	27.7974	2	CID-MSn	344.2	ITMS + c NSI d Full ms2 344.20@cid35.00 [80.00-1045.00]
2897	27.8071	2	CID-MSn	410.91	ITMS + c NSI d Full ms2 410.91@cid35.00 [100.00-1245.00]
2898	27.8194	2	CID-MSn	413.24	ITMS + c NSI d Full ms2 413.24@cid35.00 [100.00-1250.00]
2900	27.838	2	CID-MSn	380.58	ITMS + c NSI d Full ms2 380.58@cid35.00 [90.00-1155.00]
2901	27.8452	2	CID-MSn	390.73	ITMS + c NSI d Full ms2 390.73@cid35.00 [95.00-795.00]
2902	27.8535	2	CID-MSn	467.74	ITMS + c NSI d Full ms2 467.74@cid35.00 [115.00-950.00]
2903	27.8634	2	CID-MSn	366.55	ITMS + c NSI d Full ms2 366.55@cid35.00 [90.00-1110.00]
2904	27.8741	2	CID-MSn	431.24	ITMS + c NSI d Full ms2 431.24@cid35.00 [105.00-1305.00]
2905	27.8842	2	CID-MSn	518.29	ITMS + c NSI d Full ms2 518.29@cid35.00 [130.00-1565.00]
2906	27.8957	2	CID-MSn	341.69	ITMS + c NSI d Full ms2 341.69@cid35.00 [80.00-695.00]
2907	27.907	2	CID-MSn	473.76	ITMS + c NSI d Full ms2 473.76@cid35.00 [120.00-960.00]
2908	27.9159	2	CID-MSn	419.77	ITMS + c NSI d Full ms2 419.77@cid35.00 [105.00-850.00]
2909	27.9275	2	CID-MSn	415.29	ITMS + c NSI d Full ms2 415.29@cid35.00 [100.00-845.00]
2911	27.9432	2	CID-MSn	472.76	ITMS + c NSI d Full ms2 472.76@cid35.00 [120.00-960.00]
2912	27.9491	2	CID-MSn	378.76	ITMS + c NSI d Full ms2 378.76@cid35.00 [90.00-770.00]
2913	27.9559	2	CID-MSn	392.55	ITMS + c NSI d Full ms2 392.55@cid35.00 [95.00-1190.00]
2914	27.9654	2	CID-MSn	319.45	ITMS + c NSI d Full ms2 319.45@cid35.00 [75.00-1290.00]
2915	27.9767	2	CID-MSn	425.59	ITMS + c NSI d Full ms2 425.59@cid35.00 [105.00-1290.00]
2916	27.9891	2	CID-MSn	386.76	ITMS + c NSI d Full ms2 386.76@cid35.00 [95.00-785.00]
2917	28.0006	2	CID-MSn	408.23	ITMS + c NSI d Full ms2 408.23@cid35.00 [100.00-1235.00]
2918	28.013	2	CID-MSn	307.85	ITMS + c NSI d Full ms2 307.85@cid35.00 [70.00-935.00]
2919	28.0248	2	CID-MSn	582.31	ITMS + c NSI d Full ms2 582.31@cid35.00 [150.00-1760.00]
2920	28.0382	2	CID-MSn	398.21	ITMS + c NSI d Full ms2 398.21@cid35.00 [95.00-1205.00]
2922	28.057	2	CID-MSn	322.22	ITMS + c NSI d Full ms2 322.22@cid35.00 [75.00-655.00]
2923	28.0619	2	CID-MSn	531.32	ITMS + c NSI d Full ms2 531.32@cid35.00 [135.00-1075.00]
2924	28.0684	2	CID-MSn	536.3	ITMS + c NSI d Full ms2 536.30@cid35.00 [135.00-1620.00]
2925	28.076	2	CID-MSn	389.88	ITMS + c NSI d Full ms2 389.88@cid35.00 [95.00-1180.00]
2926	28.0857	2	CID-MSn	417.23	ITMS + c NSI d Full ms2 417.23@cid35.00 [100.00-1265.00]
2927	28.0964	2	CID-MSn	350.23	ITMS + c NSI d Full ms2 350.23@cid35.00 [85.00-1065.00]
2928	28.1059	2	CID-MSn	335.19	ITMS + c NSI d Full ms2 335.19@cid35.00 [80.00-1020.00]
2929	28.1179	2	CID-MSn	475.9	ITMS + c NSI d Full ms2 475.90@cid35.00 [120.00-1440.00]
2930	28.1306	2	CID-MSn	549.3	ITMS + c NSI d Full ms2 549.30@cid35.00 [140.00-1660.00]
2931	28.1438	2	CID-MSn	400.78	ITMS + c NSI d Full ms2 400.78@cid35.00 [100.00-815.00]
2933	28.1616	2	CID-MSn	331.2	ITMS + c NSI d Full ms2 331.20@cid35.00 [80.00-1005.00]
2934	28.1705	2	CID-MSn	363.21	ITMS + c NSI d Full ms2 363.21@cid35.00 [85.00-1100.00]
2935	28.1812	2	CID-MSn	439.25	ITMS + c NSI d Full ms2 439.25@cid35.00 [110.00-1330.00]
2936	28.1937	2	CID-MSn	430.57	ITMS + c NSI d Full ms2 430.57@cid35.00 [105.00-1305.00]
2937	28.2052	2	CID-MSn	385.21	ITMS + c NSI d Full ms2 385.21@cid35.00 [95.00-785.00]
2938	28.2167	2	CID-MSn	394.53	ITMS + c NSI d Full ms2 394.53@cid35.00 [95.00-1195.00]
2939	28.2289	2	CID-MSn	524.34	ITMS + c NSI d Full ms2 524.34@cid35.00 [130.00-1060.00]
2940	28.2409	2	CID-MSn	436.99	ITMS + c NSI d Full ms2 436.99@cid35.00 [110.00-1760.00]
2941	28.2543	2	CID-MSn	325.2	ITMS + c NSI d Full ms2 325.20@cid35.00 [75.00-990.00]
2942	28.2662	2	CID-MSn	586.83	ITMS + c NSI d Full ms2 586.83@cid35.00 [150.00-1185.00]
2944	28.2843	2	CID-MSn	414.28	ITMS + c NSI d Full ms2 414.28@cid35.00 [100.00-840.00]
2945	28.2901	2	CID-MSn	315.51	ITMS + c NSI d Full ms2 315.51@cid35.00 [75.00-960.00]
2946	28.2962	2	CID-MSn	303.19	ITMS + c NSI d Full ms2 303.19@cid35.00 [70.00-920.00]
2947	28.3029	2	CID-MSn	318.19	ITMS + c NSI d Full ms2 318.19@cid35.00 [75.00-965.00]
2948	28.3099	2	CID-MSn	575.81	ITMS + c NSI d Full ms2 575.81@cid35.00 [145.00-1165.00]
2949	28.3188	2	CID-MSn	428.28	ITMS + c NSI d Full ms2 428.28@cid35.00 [105.00-870.00]
2950	28.3281	2	CID-MSn	311.19	ITMS + c NSI d Full ms2 311.19@cid35.00 [75.00-945.00]
2951	28.3372	2	CID-MSn	356.21	ITMS + c NSI d Full ms2 356.21@cid35.00 [85.00-725.00]
2952	28.3486	2	CID-MSn	361.2	ITMS + c NSI d Full ms2 361.20@cid35.00 [85.00-1095.00]
2953	28.3607	2	CID-MSn	352.87	ITMS + c NSI d Full ms2 352.87@cid35.00 [85.00-1070.00]
2955	28.379	2	CID-MSn	384.21	ITMS + c NSI d Full ms2 384.21@cid35.00 [95.00-1165.00]
2956	28.3853	2	CID-MSn	454.28	ITMS + c NSI d Full ms2 454.28@cid35.00 [115.00-920.00]
2957	28.3939	2	CID-MSn	366.55	ITMS + c NSI d Full ms2 366.55@cid35.00 [90.00-1110.00]
2958	28.4025	2	CID-MSn	328.17	ITMS + c NSI d Full ms2 328.17@cid35.00 [80.00-995.00]
2959	28.4111	2	CID-MSn	495.29	ITMS + c NSI d Full ms2 495.29@cid35.00 [125.00-1500.00]
2960	28.4198	2	CID-MSn	505.24	ITMS + c NSI d Full ms2 505.24@cid35.00 [125.00-1025.00]
2961	28.4307	2	CID-MSn	371.28	ITMS + c NSI d Full ms2 371.28@cid35.00 [90.00-755.00]
2962	28.4413	2	CID-MSn	456.25	ITMS + c NSI d Full ms2 456.25@cid35.00 [115.00-925.00]
2963	28.4511	2	CID-MSn	341.7	ITMS + c NSI d Full ms2 341.70@cid35.00 [80.00-695.00]
2964	28.4624	2	CID-MSn	324.53	ITMS + c NSI d Full ms2 324.53@cid35.00 [75.00-985.00]
2966	28.4799	2	CID-MSn	386.76	ITMS + c NSI d Full ms2 386.76@cid35.00 [95.00-785.00]
2967	28.4891	2	CID-MSn	392.22	ITMS + c NSI d Full ms2 392.22@cid35.00 [95.00-1190.00]
2968	28.4995	2	CID-MSn	582.65	ITMS + c NSI d Full ms2 582.65@cid35.00 [150.00-1760.00]
2969	28.5113	2	CID-MSn	307.52	ITMS + c NSI d Full ms2 307.52@cid35.00 [70.00-935.00]
2970	28.5231	2	CID-MSn	484.58	ITMS + c NSI d Full ms2 484.58@cid35.00 [120.00-1465.00]
2971	28.5352	2	CID-MSn	409.77	ITMS + c NSI d Full ms2 409.77@cid35.00 [100.00-830.00]
2972	28.5466	2	CID-MSn	478.32	ITMS + c NSI d Full ms2 478.32@cid35.00 [120.00-970.00]
2973	28.5585	2	CID-MSn	344.2	ITMS + c NSI d Full ms2 344.20@cid35.00 [80.00-1045.00]
2974	28.5705	2	CID-MSn	438.59	ITMS + c NSI d Full ms2 438.59@cid35.00 [110.00-1330.00]
2975	28.5815	2	CID-MSn	472.76	ITMS + c NSI d Full ms2 472.76@cid35.00 [120.00-960.00]
2977	28.5994	2	CID-MSn	383.24	ITMS + c NSI d Full ms2 383.24@cid35.00 [95.00-780.00]
2978	28.6046	2	CID-MSn	536.3	ITMS + c NSI d Full ms2 536.30@cid35.00 [135.00-1620.00]
2979	28.6127	2	CID-MSn	470.76	ITMS + c NSI d Full ms2 470.76@cid35.00 [115.00-955.00]
2980	28.6209	2	CID-MSn	549.3	ITMS + c NSI d Full ms2 549.30@cid35.00 [140.00-1660.00]
2981	28.6296	2	CID-MSn	314.18	ITMS + c NSI d Full ms2 314.18@cid35.00 [75.00-955.00]
2982	28.6381	2	CID-MSn	389.88	ITMS + c NSI d Full ms2 389.88@cid35.00 [95.00-1180.00]
2983	28.647	2	CID-MSn	612.34	ITMS + c NSI d Full ms2 612.34@cid35.00 [155.00-1235.00]
